"Ranking","County","Adherents","Percent"
567,"Coosa County, Alabama",4180,36.22
383,"Copiah County, Mississippi",12630,42.89
2173,"Corson County, South Dakota",149,3.68
2127,"Cortland County, New York",2291,4.64
766,"Coryell County, Texas",23206,30.78
1423,"Coshocton County, Ohio",5996,16.25
2285,"Costilla County, Colorado",,
20,"Cottle County, Texas",1130,75.08
22,"Cotton County, Oklahoma",4586,74.05
857,"Cottonwood County, Minnesota",3341,28.59
141,"Covington city, Virginia",3242,54.39
167,"Covington County, Alabama",20052,53.10
484,"Covington County, Mississippi",7714,39.42
732,"Coweta County, Georgia",40586,31.88
1201,"Cowley County, Kansas",7419,20.43
1340,"Cowlitz County, Washington",18100,17.67
169,"Craig County, Oklahoma",7952,52.91
668,"Craig County, Virginia",1741,33.55
313,"Craighead County, Arkansas",44184,45.81
711,"Crane County, Texas",1419,32.43
1095,"Craven County, North Carolina",23673,22.87
436,"Crawford County, Arkansas",25526,41.21
1961,"Crawford County, Georgia",965,7.64
1006,"Crawford County, Illinois",4927,24.86
1022,"Crawford County, Indiana",2613,24.39
595,"Crawford County, Iowa",6077,35.55
1317,"Crawford County, Kansas",7107,18.16
2045,"Crawford County, Michigan",861,6.12
996,"Crawford County, Missouri",6215,25.17
1493,"Crawford County, Ohio",6514,14.88
1652,"Crawford County, Pennsylvania",11029,12.42
1990,"Crawford County, Wisconsin",1169,7.02
477,"Creek County, Oklahoma",27776,39.70
160,"Crenshaw County, Alabama",7442,53.52
638,"Crisp County, Georgia",8030,34.26
698,"Crittenden County, Arkansas",16649,32.71
120,"Crittenden County, Kentucky",5193,55.75
174,"Crockett County, Tennessee",7678,52.64
1096,"Crockett County, Texas",850,22.86
1724,"Crook County, Oregon",2385,11.37
1892,"Crook County, Wyoming",628,8.87
301,"Crosby County, Texas",2806,46.31
214,"Cross County, Arkansas",8988,50.30
1517,"Crow Wing County, Minnesota",9073,14.52
2019,"Crowley County, Colorado",378,6.49
1301,"Culberson County, Texas",441,18.39
40,"Cullman County, Alabama",53863,66.99
1237,"Culpeper County, Virginia",9198,19.70
1407,"Cumberland County, Illinois",1826,16.53
1160,"Cumberland County, Kentucky",1479,21.57
2144,"Cumberland County, Maine",12007,4.26
1909,"Cumberland County, New Jersey",13350,8.51
858,"Cumberland County, North Carolina",91229,28.56
1614,"Cumberland County, Pennsylvania",30598,13.00
717,"Cumberland County, Tennessee",18060,32.22
1124,"Cumberland County, Virginia",2235,22.23
707,"Cuming County, Nebraska",2974,32.54
1267,"Currituck County, North Carolina",4502,19.12
846,"Curry County, New Mexico",13955,28.85
1875,"Curry County, Oregon",2043,9.14
1408,"Custer County, Colorado",703,16.52
2009,"Custer County, Idaho",290,6.64
1576,"Custer County, Montana",1594,13.63
1439,"Custer County, Nebraska",1741,15.92
180,"Custer County, Oklahoma",14315,52.11
1886,"Custer County, South Dakota",735,8.95
1918,"Cuyahoga County, Ohio",106477,8.32
901,"Dade County, Georgia",4562,27.43
212,"Dade County, Missouri",3969,50.35
1532,"Dakota County, Minnesota",57007,14.30
1868,"Dakota County, Nebraska",1939,9.23
584,"Dale County, Alabama",17979,35.78
341,"Dallam County, Texas",2972,44.34
512,"Dallas County, Alabama",16764,38.26
621,"Dallas County, Arkansas",2824,34.80
1527,"Dallas County, Iowa",9492,14.35
871,"Dallas County, Missouri",4722,28.15
958,"Dallas County, Texas",615849,26.01
2034,"Dane County, Wisconsin",30727,6.30
26,"Daniels County, Montana",1272,72.64
328,"Danville city, Virginia",19334,44.91
1691,"Dare County, North Carolina",4023,11.86
1340,"Darke County, Ohio",9356,17.67
973,"Darlington County, South Carolina",17659,25.71
1806,"Dauphin County, Pennsylvania",27374,10.21
1214,"Davidson County, North Carolina",32855,20.17
679,"Davidson County, Tennessee",208931,33.34
998,"Davie County, North Carolina",10339,25.07
590,"Daviess County, Indiana",11283,35.65
416,"Daviess County, Kentucky",40335,41.73
305,"Daviess County, Missouri",3885,46.07
1048,"Davis County, Iowa",2092,23.90
2220,"Davis County, Utah",7928,2.59
1480,"Davison County, South Dakota",2961,15.18
1628,"Dawes County, Nebraska",1173,12.77
571,"Dawson County, Georgia",8060,36.09
999,"Dawson County, Montana",2244,25.03
1449,"Dawson County, Nebraska",3841,15.79
237,"Dawson County, Texas",6808,49.22
1813,"Day County, South Dakota",578,10.12
253,"De Baca County, New Mexico",977,48.32
486,"De Soto Parish, Louisiana",10496,39.38
1035,"De Witt County, Illinois",3998,24.14
722,"Deaf Smith County, Texas",6219,32.10
1790,"Dearborn County, Indiana",5222,10.43
420,"Decatur County, Georgia",11579,41.59
1587,"Decatur County, Indiana",3441,13.37
1417,"Decatur County, Iowa",1383,16.35
719,"Decatur County, Kansas",952,32.15
340,"Decatur County, Tennessee",5215,44.36
2057,"Deer Lodge County, Montana",550,5.92
966,"Defiance County, Ohio",10104,25.88
314,"DeKalb County, Alabama",32536,45.76
1231,"DeKalb County, Georgia",136806,19.77
1860,"DeKalb County, Illinois",9843,9.36
1238,"DeKalb County, Indiana",8313,19.69
1452,"DeKalb County, Missouri",2027,15.72
460,"DeKalb County, Tennessee",7534,40.24
1859,"Del Norte County, California",2682,9.37
1521,"Delaware County, Indiana",17042,14.48
2145,"Delaware County, Iowa",755,4.25
2042,"Delaware County, New York",2951,6.15
1990,"Delaware County, Ohio",12235,7.02
715,"Delaware County, Oklahoma",13399,32.30
2138,"Delaware County, Pennsylvania",24456,4.38
1572,"Delta County, Colorado",4238,13.69
1883,"Delta County, Michigan",3333,8.99
126,"Delta County, Texas",2888,55.21
1382,"Denali Borough, Alaska",310,16.98
286,"Dent County, Missouri",7355,46.98
986,"Denton County, Texas",167945,25.35
1897,"Denver County, Colorado",52278,8.71
1789,"Des Moines County, Iowa",4211,10.44
1752,"Deschutes County, Oregon",17329,10.99
273,"Desha County, Arkansas",6173,47.46
1247,"DeSoto County, Florida",6786,19.47
552,"DeSoto County, Mississippi",59275,36.76
1078,"Deuel County, Nebraska",451,23.24
1268,"Deuel County, South Dakota",834,19.11
102,"Dewey County, Oklahoma",2754,57.26
1869,"Dewey County, South Dakota",489,9.22
1482,"DeWitt County, Texas",3046,15.16
204,"Dickens County, Texas",1236,50.57
1768,"Dickenson County, Virginia",1707,10.73
1001,"Dickey County, North Dakota",1321,24.98
1668,"Dickinson County, Iowa",2029,12.17
1558,"Dickinson County, Kansas",2743,13.89
1082,"Dickinson County, Michigan",6051,23.12
656,"Dickson County, Tennessee",16818,33.86
1877,"Dillingham Census Area, Alaska",442,9.12
551,"Dillon County, South Carolina",11799,36.80
1773,"Dimmit County, Texas",1064,10.64
1604,"Dinwiddie County, Virginia",3678,13.14
1647,"District of Columbia, District of Columbia",75306,12.52
2174,"Divide County, North Dakota",76,3.67
1040,"Dixie County, Florida",3947,24.03
1385,"Dixon County, Nebraska",1016,16.93
1698,"Doddridge County, West Virginia",963,11.74
109,"Dodge County, Georgia",12377,56.79
1389,"Dodge County, Minnesota",3379,16.82
1256,"Dodge County, Nebraska",7095,19.34
1182,"Dodge County, Wisconsin",18757,21.13
1870,"Dolores County, Colorado",190,9.21
1778,"Doña Ana County, New Mexico",22120,10.57
1335,"Doniphan County, Kansas",1411,17.76
243,"Donley County, Texas",1800,48.95
870,"Dooly County, Georgia",4201,28.16
1414,"Door County, Wisconsin",4560,16.41
1776,"Dorchester County, Maryland",3460,10.61
1303,"Dorchester County, South Carolina",25075,18.36
615,"Dougherty County, Georgia",33011,34.91
1333,"Douglas County, Colorado",50827,17.80
624,"Douglas County, Georgia",45976,34.72
778,"Douglas County, Illinois",6100,30.53
1820,"Douglas County, Kansas",11142,10.05
1232,"Douglas County, Minnesota",7114,19.76
1536,"Douglas County, Missouri",1948,14.24
1646,"Douglas County, Nebraska",64801,12.53
1669,"Douglas County, Nevada",5713,12.16
1313,"Douglas County, Oregon",19604,18.21
267,"Douglas County, South Dakota",1433,47.73
1826,"Douglas County, Washington",3833,9.97
1726,"Douglas County, Wisconsin",5012,11.35
256,"Drew County, Arkansas",8917,48.18
1851,"Dubois County, Indiana",4008,9.57
2053,"Dubuque County, Iowa",5613,5.99
2196,"Duchesne County, Utah",565,3.04
2248,"Dukes County, Massachusetts",310,1.87
2237,"Dundy County, Nebraska",44,2.19
439,"Dunklin County, Missouri",13124,41.07
2146,"Dunn County, North Dakota",150,4.24
1765,"Dunn County, Wisconsin",4722,10.77
1600,"DuPage County, Illinois",120953,13.19
1260,"Duplin County, North Carolina",11282,19.28
1168,"Durham County, North Carolina",57203,21.38
2142,"Dutchess County, New York",12799,4.30
765,"Duval County, Florida",266356,30.82
1673,"Duval County, Texas",1428,12.12
353,"Dyer County, Tennessee",16830,43.90
2147,"Eagle County, Colorado",2199,4.21
302,"Early County, Georgia",5086,46.20
899,"East Baton Rouge Parish, Louisiana",120949,27.48
606,"East Carroll Parish, Louisiana",2730,35.18
904,"East Feliciana Parish, Louisiana",5551,27.39
25,"Eastland County, Texas",13565,73.00
1157,"Eaton County, Michigan",23299,21.62
1289,"Eau Claire County, Wisconsin",18442,18.68
1489,"Echols County, Georgia",604,14.97
741,"Ector County, Texas",43262,31.55
766,"Eddy County, New Mexico",16569,30.78
2141,"Eddy County, North Dakota",103,4.32
1325,"Edgar County, Illinois",3338,17.97
767,"Edgecombe County, North Carolina",17402,30.77
1070,"Edgefield County, South Carolina",6325,23.44
1534,"Edmonson County, Kentucky",1737,14.28
1399,"Edmunds County, South Dakota",679,16.68
379,"Edwards County, Illinois",2889,42.98
1765,"Edwards County, Kansas",327,10.77
558,"Edwards County, Texas",732,36.56
894,"Effingham County, Georgia",14464,27.68
760,"Effingham County, Illinois",10618,31.01
1876,"El Dorado County, California",16538,9.13
1473,"El Paso County, Colorado",95284,15.31
1759,"El Paso County, Texas",87056,10.87
2064,"Elbert County, Colorado",1317,5.70
555,"Elbert County, Georgia",7392,36.66
1726,"Elk County, Kansas",327,11.35
2209,"Elk County, Pennsylvania",905,2.83
925,"Elkhart County, Indiana",52931,26.79
1995,"Elko County, Nevada",3374,6.91
2244,"Elliott County, Kentucky",158,2.01
2004,"Ellis County, Kansas",1915,6.73
204,"Ellis County, Oklahoma",2099,50.57
738,"Ellis County, Texas",47380,31.67
1227,"Ellsworth County, Kansas",1292,19.89
592,"Elmore County, Alabama",28235,35.60
1803,"Elmore County, Idaho",2768,10.24
915,"Emanuel County, Georgia",6126,27.11
2174,"Emery County, Utah",403,3.67
1912,"Emmet County, Iowa",868,8.43
1863,"Emmet County, Michigan",3048,9.32
1194,"Emmons County, North Dakota",735,20.70
792,"Emporia city, Virginia",1791,30.22
364,"Erath County, Texas",16480,43.49
2084,"Erie County, New York",49435,5.38
1629,"Erie County, Ohio",9836,12.76
1911,"Erie County, Pennsylvania",23687,8.44
294,"Escambia County, Alabama",17917,46.76
725,"Escambia County, Florida",95418,32.06
2203,"Esmeralda County, Nevada",23,2.94
2210,"Essex County, Massachusetts",20925,2.82
2135,"Essex County, New Jersey",34666,4.42
2196,"Essex County, New York",1197,3.04
1149,"Essex County, Virginia",2432,21.81
547,"Estill County, Kentucky",5423,36.96
71,"Etowah County, Alabama",64316,61.59
1848,"Eureka County, Nevada",191,9.61
1385,"Evangeline Parish, Louisiana",5754,16.93
826,"Evans County, Georgia",3230,29.36
1529,"Fairbanks North Star Borough, Alaska",13987,14.33
597,"Fairfax city, Virginia",8012,35.51
1851,"Fairfax County, Virginia",103522,9.57
2106,"Fairfield County, Connecticut",46888,5.11
1540,"Fairfield County, Ohio",20742,14.19
690,"Fairfield County, South Carolina",7894,32.95
1542,"Fall River County, South Dakota",1005,14.17
1601,"Fallon County, Montana",381,13.18
990,"Falls Church city, Virginia",3114,25.25
1053,"Falls County, Texas",4251,23.79
108,"Fannin County, Georgia",13477,56.91
227,"Fannin County, Texas",16946,49.97
1522,"Faribault County, Minnesota",2101,14.44
1914,"Faulk County, South Dakota",198,8.38
605,"Faulkner County, Arkansas",39848,35.19
1300,"Fauquier County, Virginia",12017,18.43
128,"Fayette County, Alabama",9490,55.04
498,"Fayette County, Georgia",41380,38.83
611,"Fayette County, Illinois",7744,34.98
1119,"Fayette County, Indiana",5421,22.33
1891,"Fayette County, Iowa",1854,8.88
863,"Fayette County, Kentucky",83924,28.37
1706,"Fayette County, Ohio",3383,11.65
1847,"Fayette County, Pennsylvania",13148,9.62
1183,"Fayette County, Tennessee",8093,21.07
1237,"Fayette County, Texas",4838,19.70
1624,"Fayette County, West Virginia",5904,12.82
955,"Fentress County, Tennessee",4691,26.12
1504,"Fergus County, Montana",1708,14.74
2036,"Ferry County, Washington",474,6.28
1134,"Fillmore County, Minnesota",4596,22.03
1668,"Fillmore County, Nebraska",717,12.17
1427,"Finney County, Kansas",5946,16.17
37,"Fisher County, Texas",2702,67.99
1787,"Flagler County, Florida",10014,10.46
1377,"Flathead County, Montana",15544,17.09
1084,"Fleming County, Kentucky",3313,23.09
756,"Florence County, South Carolina",42527,31.07
1367,"Florence County, Wisconsin",764,17.27
265,"Floyd County, Georgia",45987,47.75
886,"Floyd County, Indiana",20756,27.83
1958,"Floyd County, Iowa",1255,7.70
1110,"Floyd County, Kentucky",8911,22.59
500,"Floyd County, Texas",2499,38.77
981,"Floyd County, Virginia",3890,25.46
1663,"Fluvanna County, Virginia",3153,12.27
6,"Foard County, Texas",1172,87.72
1478,"Fond du Lac County, Wisconsin",15457,15.21
1440,"Ford County, Illinois",2239,15.90
1253,"Ford County, Kansas",6564,19.39
2010,"Forest County, Pennsylvania",511,6.62
1668,"Forest County, Wisconsin",1132,12.17
326,"Forrest County, Mississippi",33774,45.07
982,"Forsyth County, Georgia",44659,25.45
852,"Forsyth County, North Carolina",100426,28.64
1608,"Fort Bend County, Texas",76590,13.08
33,"Foster County, North Dakota",2321,69.43
1181,"Fountain County, Indiana",3646,21.15
1390,"Franklin city, Virginia",1443,16.81
172,"Franklin County, Alabama",16733,52.78
746,"Franklin County, Arkansas",5699,31.44
1065,"Franklin County, Florida",2718,23.53
81,"Franklin County, Georgia",13091,59.28
2267,"Franklin County, Idaho",150,1.17
421,"Franklin County, Illinois",16444,41.57
1794,"Franklin County, Indiana",2391,10.36
1638,"Franklin County, Iowa",1350,12.64
1564,"Franklin County, Kansas",3590,13.81
486,"Franklin County, Kentucky",19409,39.38
2202,"Franklin County, Maine",908,2.95
2206,"Franklin County, Massachusetts",2079,2.91
114,"Franklin County, Mississippi",4572,56.32
1117,"Franklin County, Missouri",22726,22.39
1745,"Franklin County, Nebraska",358,11.10
2224,"Franklin County, New York",1277,2.47
751,"Franklin County, North Carolina",18951,31.26
1654,"Franklin County, Ohio",144147,12.39
1590,"Franklin County, Pennsylvania",19930,13.32
527,"Franklin County, Tennessee",15502,37.76
1032,"Franklin County, Texas",2568,24.21
2250,"Franklin County, Vermont",874,1.83
812,"Franklin County, Virginia",16656,29.66
1553,"Franklin County, Washington",10938,13.99
50,"Franklin Parish, Louisiana",13438,64.71
1872,"Frederick County, Maryland",21401,9.17
1452,"Frederick County, Virginia",12307,15.72
2,"Fredericksburg city, Virginia",25152,103.57
1583,"Freeborn County, Minnesota",4217,13.49
816,"Freestone County, Texas",5862,29.58
1575,"Fremont County, Colorado",6389,13.64
2152,"Fremont County, Idaho",546,4.12
1989,"Fremont County, Iowa",523,7.03
1773,"Fremont County, Wyoming",4269,10.64
1580,"Fresno County, California",126004,13.54
1907,"Frio County, Texas",1469,8.53
1365,"Frontier County, Nebraska",477,17.31
446,"Fulton County, Arkansas",4993,40.78
1126,"Fulton County, Georgia",204409,22.20
1658,"Fulton County, Illinois",4571,12.33
1539,"Fulton County, Indiana",2958,14.20
84,"Fulton County, Kentucky",4032,59.18
2227,"Fulton County, New York",1351,2.43
1038,"Fulton County, Ohio",10274,24.06
1598,"Fulton County, Pennsylvania",1962,13.22
734,"Furnas County, Nebraska",1579,31.84
1274,"Gadsden County, Florida",8795,18.96
1162,"Gage County, Nebraska",4804,21.53
302,"Gaines County, Texas",8097,46.20
311,"Galax city, Virginia",3229,45.85
959,"Gallatin County, Illinois",1453,26.00
634,"Gallatin County, Kentucky",2960,34.46
1581,"Gallatin County, Montana",12099,13.52
1578,"Gallia County, Ohio",4195,13.56
1179,"Galveston County, Texas",61765,21.20
2000,"Garden County, Nebraska",141,6.85
1879,"Garfield County, Colorado",5108,9.06
1847,"Garfield County, Montana",116,9.62
670,"Garfield County, Nebraska",687,33.53
672,"Garfield County, Oklahoma",20284,33.48
2277,"Garfield County, Utah",25,0.48
1579,"Garfield County, Washington",307,13.55
706,"Garland County, Arkansas",31254,32.55
318,"Garrard County, Kentucky",7702,45.54
1221,"Garrett County, Maryland",6015,19.99
73,"Garvin County, Oklahoma",16855,61.12
861,"Garza County, Texas",1837,28.43
837,"Gasconade County, Missouri",4423,29.06
432,"Gaston County, North Carolina",85092,41.29
423,"Gates County, North Carolina",5058,41.47
1349,"Geary County, Kansas",6024,17.53
1506,"Geauga County, Ohio",13735,14.71
2104,"Gem County, Idaho",858,5.13
1552,"Genesee County, Michigan",59625,14.00
1972,"Genesee County, New York",4468,7.44
264,"Geneva County, Alabama",12807,47.81
373,"Gentry County, Missouri",2913,43.23
513,"George County, Mississippi",8631,38.23
1128,"Georgetown County, South Carolina",13340,22.17
1756,"Gibson County, Indiana",3668,10.95
132,"Gibson County, Tennessee",27229,54.81
1814,"Gila County, Arizona",5416,10.11
572,"Gilchrist County, Florida",6098,36.00
249,"Giles County, Tennessee",14299,48.50
1051,"Giles County, Virginia",4118,23.82
1446,"Gillespie County, Texas",3929,15.82
2017,"Gilliam County, Oregon",122,6.52
713,"Gilmer County, Georgia",9152,32.35
2134,"Gilmer County, West Virginia",391,4.50
2031,"Glacier County, Montana",851,6.35
1468,"Glades County, Florida",1983,15.39
1603,"Gladwin County, Michigan",3379,13.15
349,"Glascock County, Georgia",1358,44.06
1924,"Glasscock County, Texas",101,8.24
1857,"Glenn County, California",2648,9.42
1772,"Gloucester County, New Jersey",30715,10.65
1059,"Gloucester County, Virginia",8729,23.68
929,"Glynn County, Georgia",21274,26.72
1425,"Gogebic County, Michigan",2664,16.22
2176,"Golden Valley County, Montana",32,3.62
1913,"Golden Valley County, North Dakota",141,8.39
1314,"Goliad County, Texas",1312,18.20
1008,"Gonzales County, Texas",4916,24.82
1084,"Goochland County, Virginia",5014,23.09
1627,"Goodhue County, Minnesota",5901,12.78
2185,"Gooding County, Idaho",529,3.42
398,"Gordon County, Georgia",23407,42.41
1953,"Goshen County, Wyoming",1032,7.79
101,"Gosper County, Nebraska",1172,57.34
1648,"Gove County, Kansas",337,12.50
428,"Grady County, Georgia",10347,41.37
534,"Grady County, Oklahoma",19725,37.62
2255,"Grafton County, New Hampshire",1494,1.68
2088,"Graham County, Arizona",1985,5.33
1215,"Graham County, Kansas",523,20.14
719,"Graham County, North Carolina",2849,32.15
232,"Grainger County, Tennessee",11233,49.58
1973,"Grand County, Colorado",1097,7.39
1888,"Grand County, Utah",823,8.92
1938,"Grand Forks County, North Dakota",5361,8.02
1656,"Grand Traverse County, Michigan",10739,12.35
2226,"Granite County, Montana",75,2.44
445,"Grant County, Arkansas",7283,40.79
1171,"Grant County, Indiana",14942,21.33
1216,"Grant County, Kansas",1576,20.13
309,"Grant County, Kentucky",11327,45.93
1225,"Grant County, Minnesota",1200,19.94
1448,"Grant County, Nebraska",97,15.80
1905,"Grant County, New Mexico",2530,8.57
1240,"Grant County, North Dakota",470,19.63
377,"Grant County, Oklahoma",1954,43.16
1908,"Grant County, Oregon",634,8.52
708,"Grant County, South Dakota",2391,32.50
1804,"Grant County, Washington",9113,10.23
1273,"Grant County, West Virginia",2264,18.97
2009,"Grant County, Wisconsin",3400,6.64
470,"Grant Parish, Louisiana",8904,39.91
660,"Granville County, North Carolina",20209,33.73
1543,"Gratiot County, Michigan",6010,14.15
76,"Graves County, Kentucky",22543,60.73
648,"Gray County, Kansas",2045,34.05
39,"Gray County, Texas",15159,67.27
1839,"Grays Harbor County, Washington",7083,9.73
805,"Grayson County, Kentucky",7693,29.88
420,"Grayson County, Texas",50271,41.59
759,"Grayson County, Virginia",4819,31.02
1854,"Greeley County, Kansas",118,9.46
1862,"Greeley County, Nebraska",237,9.34
21,"Green County, Kentucky",8358,74.24
2097,"Green County, Wisconsin",1922,5.22
928,"Green Lake County, Wisconsin",5092,26.73
1587,"Greenbrier County, West Virginia",4743,13.37
1645,"Greene County, Alabama",1134,12.54
274,"Greene County, Arkansas",19964,47.43
1143,"Greene County, Georgia",3503,21.90
1356,"Greene County, Illinois",2420,17.43
1100,"Greene County, Indiana",7562,22.80
1483,"Greene County, Iowa",1414,15.15
941,"Greene County, Mississippi",3814,26.49
608,"Greene County, Missouri",96521,35.08
2149,"Greene County, New York",2063,4.19
1498,"Greene County, North Carolina",3165,14.82
1519,"Greene County, Ohio",23435,14.50
1750,"Greene County, Pennsylvania",4260,11.01
704,"Greene County, Tennessee",22449,32.61
1685,"Greene County, Virginia",2197,11.94
2002,"Greenlee County, Arizona",571,6.77
1527,"Greensville County, Virginia",1757,14.35
730,"Greenup County, Kentucky",11804,31.98
425,"Greenville County, South Carolina",186955,41.43
1083,"Greenwood County, Kansas",1546,23.11
514,"Greenwood County, South Carolina",26597,38.18
61,"Greer County, Oklahoma",3931,63.01
170,"Gregg County, Texas",64326,52.84
1043,"Gregory County, South Dakota",1025,24.00
227,"Grenada County, Mississippi",10946,49.97
1346,"Griggs County, North Dakota",425,17.56
1361,"Grimes County, Texas",4622,17.37
1776,"Grundy County, Illinois",5311,10.61
1559,"Grundy County, Iowa",1727,13.87
63,"Grundy County, Missouri",6417,62.54
1110,"Grundy County, Tennessee",3096,22.59
2166,"Guadalupe County, New Mexico",180,3.84
1421,"Guadalupe County, Texas",21414,16.28
1699,"Guernsey County, Ohio",4703,11.73
1080,"Guilford County, North Carolina",113377,23.21
874,"Gulf County, Florida",4459,28.11
1977,"Gunnison County, Colorado",1121,7.32
1758,"Guthrie County, Iowa",1192,10.88
1029,"Gwinnett County, Georgia",195348,24.26
1123,"Haakon County, South Dakota",431,22.25
283,"Habersham County, Georgia",20247,47.04
1569,"Haines Borough, Alaska",344,13.72
894,"Hale County, Alabama",4362,27.68
78,"Hale County, Texas",21750,59.96
812,"Halifax County, North Carolina",16221,29.66
335,"Halifax County, Virginia",16150,44.56
316,"Hall County, Georgia",81965,45.62
1270,"Hall County, Nebraska",11153,19.03
245,"Hall County, Texas",1631,48.64
175,"Hamblen County, Tennessee",32801,52.44
862,"Hamilton County, Florida",4204,28.41
526,"Hamilton County, Illinois",3194,37.77
1397,"Hamilton County, Indiana",45849,16.70
1285,"Hamilton County, Iowa",2939,18.75
1846,"Hamilton County, Kansas",259,9.63
1240,"Hamilton County, Nebraska",1791,19.63
1871,"Hamilton County, New York",445,9.20
1710,"Hamilton County, Ohio",93166,11.61
446,"Hamilton County, Tennessee",137194,40.78
278,"Hamilton County, Texas",4022,47.22
2143,"Hamlin County, South Dakota",252,4.27
2149,"Hampden County, Massachusetts",19438,4.19
2245,"Hampshire County, Massachusetts",3128,1.98
1487,"Hampshire County, West Virginia",3600,15.02
1043,"Hampton city, Virginia",32989,24.00
557,"Hampton County, South Carolina",7716,36.59
1675,"Hancock County, Georgia",1139,12.08
1547,"Hancock County, Illinois",2688,14.07
1077,"Hancock County, Indiana",16311,23.30
1072,"Hancock County, Iowa",2655,23.41
15,"Hancock County, Kentucky",6628,77.38
2230,"Hancock County, Maine",1288,2.37
1694,"Hancock County, Mississippi",5182,11.80
1633,"Hancock County, Ohio",9497,12.70
11,"Hancock County, Tennessee",5647,82.81
1526,"Hancock County, West Virginia",4404,14.36
2088,"Hand County, South Dakota",183,5.33
931,"Hanover County, Virginia",26659,26.70
501,"Hansford County, Texas",2173,38.71
1219,"Hanson County, South Dakota",668,20.05
401,"Haralson County, Georgia",12170,42.29
480,"Hardee County, Florida",10969,39.56
359,"Hardeman County, Tennessee",11904,43.68
27,"Hardeman County, Texas",2931,70.81
1055,"Hardin County, Illinois",1026,23.75
1146,"Hardin County, Iowa",3834,21.87
630,"Hardin County, Kentucky",36503,34.59
1669,"Hardin County, Ohio",3898,12.16
337,"Hardin County, Tennessee",11563,44.43
459,"Hardin County, Texas",21993,40.25
865,"Harding County, New Mexico",197,28.35
896,"Harding County, South Dakota",347,27.65
945,"Hardy County, West Virginia",3698,26.37
1844,"Harford County, Maryland",23645,9.66
422,"Harlan County, Kentucky",12152,41.51
1222,"Harlan County, Nebraska",684,19.98
1,"Harmon County, Oklahoma",3824,130.87
1084,"Harnett County, North Carolina",26479,23.09
2021,"Harney County, Oregon",480,6.47
914,"Harper County, Kansas",1639,27.16
119,"Harper County, Oklahoma",2059,55.88
1047,"Harris County, Georgia",7657,23.91
947,"Harris County, Texas",1077287,26.32
1569,"Harrison County, Indiana",5399,13.72
1590,"Harrison County, Iowa",1988,13.32
577,"Harrison County, Kentucky",6773,35.94
1168,"Harrison County, Mississippi",39995,21.38
588,"Harrison County, Missouri",3196,35.68
1988,"Harrison County, Ohio",1118,7.05
381,"Harrison County, Texas",28169,42.92
1668,"Harrison County, West Virginia",8406,12.17
1261,"Harrisonburg city, Virginia",9409,19.24
187,"Hart County, Georgia",13017,51.63
400,"Hart County, Kentucky",7710,42.36
2067,"Hartford County, Connecticut",50619,5.66
972,"Hartley County, Texas",1559,25.72
819,"Harvey County, Kansas",10235,29.51
830,"Haskell County, Kansas",1247,29.30
122,"Haskell County, Oklahoma",7086,55.49
10,"Haskell County, Texas",4921,83.42
1895,"Hawaii County, Hawaii",16302,8.81
293,"Hawkins County, Tennessee",26592,46.79
1760,"Hayes County, Nebraska",105,10.86
1492,"Hays County, Texas",23425,14.91
176,"Haywood County, North Carolina",30947,52.42
616,"Haywood County, Tennessee",6552,34.88
327,"Heard County, Georgia",5322,44.97
156,"Hemphill County, Texas",2045,53.72
710,"Hempstead County, Arkansas",7340,32.46
2016,"Henderson County, Illinois",479,6.53
537,"Henderson County, Kentucky",17331,37.47
667,"Henderson County, North Carolina",35836,33.57
453,"Henderson County, Tennessee",11263,40.56
682,"Henderson County, Texas",26143,33.29
1152,"Hendricks County, Indiana",31617,21.74
1404,"Hendry County, Florida",6484,16.57
1547,"Hennepin County, Minnesota",162094,14.07
873,"Henrico County, Virginia",86344,28.13
620,"Henry County, Alabama",6025,34.82
1000,"Henry County, Georgia",51021,25.02
1874,"Henry County, Illinois",4617,9.15
1045,"Henry County, Indiana",11855,23.97
1628,"Henry County, Iowa",2572,12.77
553,"Henry County, Kentucky",5663,36.73
494,"Henry County, Missouri",8678,38.96
775,"Henry County, Ohio",8636,30.61
289,"Henry County, Tennessee",15167,46.91
478,"Henry County, Virginia",21481,39.67
2235,"Herkimer County, New York",1461,2.26
1702,"Hernando County, Florida",20205,11.69
848,"Hertford County, North Carolina",7097,28.77
1656,"Hettinger County, North Dakota",306,12.35
7,"Hickman County, Kentucky",4297,87.66
731,"Hickman County, Tennessee",7892,31.96
902,"Hickory County, Missouri",2639,27.41
1950,"Hidalgo County, New Mexico",383,7.83
1840,"Hidalgo County, Texas",75327,9.72
1255,"Highland County, Ohio",8436,19.35
1253,"Highland County, Virginia",450,19.39
1203,"Highlands County, Florida",20134,20.38
1821,"Hill County, Montana",1615,10.03
457,"Hill County, Texas",14202,40.47
1311,"Hillsborough County, Florida",224054,18.23
2103,"Hillsborough County, New Hampshire",20588,5.14
1582,"Hillsdale County, Michigan",6306,13.51
542,"Hinds County, Mississippi",91042,37.12
1839,"Hinsdale County, Colorado",82,9.73
934,"Hitchcock County, Nebraska",775,26.65
1764,"Hocking County, Ohio",3171,10.79
149,"Hockley County, Texas",12366,53.92
1876,"Hodgeman County, Kansas",175,9.13
1545,"Hoke County, North Carolina",6634,14.13
