"Ranking","County","Adherents","Percent"
1326,"Bastrop County, Texas",13320,17.96
696,"Bates County, Missouri",5582,32.74
911,"Bath County, Kentucky",3158,27.25
885,"Bath County, Virginia",1319,27.88
582,"Baxter County, Arkansas",14884,35.85
962,"Bay County, Florida",43852,25.97
1387,"Bay County, Michigan",18158,16.85
2069,"Bayfield County, Wisconsin",847,5.64
48,"Baylor County, Texas",2426,65.11
1209,"Beadle County, South Dakota",3531,20.30
2264,"Bear Lake County, Idaho",75,1.25
692,"Beaufort County, North Carolina",15678,32.83
1501,"Beaufort County, South Carolina",24002,14.79
197,"Beauregard Parish, Louisiana",18098,50.76
554,"Beaver County, Oklahoma",2068,36.69
2007,"Beaver County, Pennsylvania",11390,6.68
2279,"Beaver County, Utah",28,0.42
1831,"Beaverhead County, Montana",911,9.85
1193,"Becker County, Minnesota",6732,20.71
157,"Beckham County, Oklahoma",11873,53.68
398,"Bedford city, Virginia",2639,42.41
1165,"Bedford County, Pennsylvania",10654,21.41
692,"Bedford County, Tennessee",14794,32.83
788,"Bedford County, Virginia",20822,30.32
1492,"Bee County, Texas",4749,14.91
2237,"Belknap County, New Hampshire",1315,2.19
65,"Bell County, Kentucky",17897,62.38
907,"Bell County, Texas",84720,27.31
1753,"Belmont County, Ohio",7732,10.98
1819,"Beltrami County, Minnesota",4471,10.06
97,"Ben Hill County, Georgia",10221,57.96
1448,"Benewah County, Idaho",1467,15.80
2113,"Bennett County, South Dakota",170,4.95
2215,"Bennington County, Vermont",1005,2.71
2132,"Benson County, North Dakota",301,4.52
2137,"Bent County, Colorado",285,4.39
694,"Benton County, Arkansas",72566,32.79
1641,"Benton County, Indiana",1114,12.58
1249,"Benton County, Iowa",5070,19.44
1688,"Benton County, Minnesota",4570,11.89
154,"Benton County, Mississippi",4692,53.75
693,"Benton County, Missouri",6253,32.81
1946,"Benton County, Oregon",6758,7.90
454,"Benton County, Tennessee",6685,40.54
1684,"Benton County, Washington",20943,11.96
2130,"Benzie County, Michigan",801,4.57
2172,"Bergen County, New Jersey",33419,3.69
1445,"Berkeley County, South Carolina",28148,15.83
1665,"Berkeley County, West Virginia",12738,12.23
1932,"Berks County, Pennsylvania",33376,8.11
2239,"Berkshire County, Massachusetts",2817,2.15
1660,"Bernalillo County, New Mexico",81470,12.30
869,"Berrien County, Georgia",5440,28.21
1131,"Berrien County, Michigan",34679,22.11
884,"Bertie County, North Carolina",5940,27.91
2203,"Bethel Census Area, Alaska",501,2.94
1388,"Bexar County, Texas",288534,16.83
342,"Bibb County, Alabama",10159,44.33
699,"Bibb County, Georgia",50855,32.69
257,"Bienville Parish, Louisiana",6913,48.16
1566,"Big Horn County, Montana",1770,13.76
1971,"Big Horn County, Wyoming",870,7.46
1009,"Big Stone County, Minnesota",1304,24.75
2256,"Bingham County, Idaho",757,1.66
1743,"Black Hawk County, Iowa",14577,11.12
1604,"Blackford County, Indiana",1678,13.14
767,"Bladen County, North Carolina",10828,30.77
2197,"Blaine County, Idaho",648,3.03
1885,"Blaine County, Montana",582,8.97
219,"Blaine County, Nebraska",240,50.21
681,"Blaine County, Oklahoma",3979,33.32
1599,"Blair County, Pennsylvania",16790,13.21
1076,"Blanco County, Texas",2447,23.31
1626,"Bland County, Virginia",873,12.79
775,"Bleckley County, Georgia",3998,30.61
1281,"Bledsoe County, Tennessee",2424,18.83
195,"Blount County, Alabama",29223,50.98
376,"Blount County, Tennessee",53117,43.18
1401,"Blue Earth County, Minnesota",10650,16.64
2016,"Boise County, Idaho",459,6.53
794,"Bolivar County, Mississippi",10312,30.20
1090,"Bollinger County, Missouri",2836,22.94
1516,"Bon Homme County, South Dakota",1027,14.53
811,"Bond County, Illinois",5273,29.68
1740,"Bonner County, Idaho",4571,11.18
2011,"Bonneville County, Idaho",6886,6.61
56,"Boone County, Arkansas",23485,63.64
1969,"Boone County, Illinois",4054,7.48
1014,"Boone County, Indiana",13919,24.57
1609,"Boone County, Iowa",3436,13.06
842,"Boone County, Kentucky",34355,28.92
1230,"Boone County, Missouri",32187,19.79
2070,"Boone County, Nebraska",310,5.63
1715,"Boone County, West Virginia",2837,11.52
29,"Borden County, Texas",449,70.05
607,"Bosque County, Texas",6405,35.17
409,"Bossier Parish, Louisiana",49177,42.04
570,"Botetourt County, Virginia",11982,36.15
1330,"Bottineau County, North Dakota",1150,17.89
1835,"Boulder County, Colorado",28825,9.79
1244,"Boundary County, Idaho",2142,19.52
1245,"Bourbon County, Kansas",2959,19.50
811,"Bourbon County, Kentucky",5932,29.68
347,"Bowie County, Texas",40890,44.17
2138,"Bowman County, North Dakota",138,4.38
1805,"Box Butte County, Nebraska",1156,10.22
2258,"Box Elder County, Utah",807,1.61
380,"Boyd County, Kentucky",21279,42.95
609,"Boyd County, Nebraska",735,35.02
64,"Boyle County, Kentucky",17762,62.47
648,"Bracken County, Kentucky",2890,34.05
640,"Bradford County, Florida",9761,34.23
1917,"Bradford County, Pennsylvania",5219,8.33
216,"Bradley County, Arkansas",5785,50.27
188,"Bradley County, Tennessee",51000,51.53
1727,"Branch County, Michigan",5132,11.34
700,"Brantley County, Georgia",6016,32.68
2158,"Braxton County, West Virginia",580,3.99
745,"Brazoria County, Texas",98539,31.47
1234,"Brazos County, Texas",38472,19.74
1734,"Breathitt County, Kentucky",1563,11.26
760,"Breckinridge County, Kentucky",6220,31.01
1634,"Bremer County, Iowa",3080,12.69
1555,"Brevard County, Florida",75893,13.97
1257,"Brewster County, Texas",1785,19.33
36,"Briscoe County, Texas",1117,68.23
2275,"Bristol Bay Borough, Alaska",6,0.60
134,"Bristol city, Virginia",9754,54.69
2185,"Bristol County, Massachusetts",18765,3.42
2280,"Bristol County, Rhode Island",198,0.40
1916,"Broadwater County, Montana",468,8.34
2142,"Bronx County, New York",59530,4.30
1673,"Brooke County, West Virginia",2918,12.12
1642,"Brookings County, South Dakota",4018,12.57
785,"Brooks County, Georgia",4929,30.35
1858,"Brooks County, Texas",679,9.40
2003,"Broome County, New York",13541,6.75
1519,"Broomfield County, Colorado",8105,14.50
1637,"Broward County, Florida",221258,12.66
1959,"Brown County, Illinois",532,7.67
1781,"Brown County, Indiana",1607,10.54
1841,"Brown County, Kansas",969,9.71
989,"Brown County, Minnesota",6547,25.28
789,"Brown County, Nebraska",953,30.30
1197,"Brown County, Ohio",9242,20.61
1211,"Brown County, South Dakota",7400,20.26
69,"Brown County, Texas",23607,61.95
1587,"Brown County, Wisconsin",33156,13.37
1741,"Brule County, South Dakota",586,11.15
1333,"Brunswick County, North Carolina",19122,17.80
1075,"Brunswick County, Virginia",4068,23.33
1106,"Bryan County, Georgia",6857,22.68
92,"Bryan County, Oklahoma",24753,58.36
1510,"Buchanan County, Iowa",3071,14.65
890,"Buchanan County, Missouri",24772,27.77
1198,"Buchanan County, Virginia",4949,20.54
1634,"Buckingham County, Virginia",2175,12.69
2121,"Bucks County, Pennsylvania",29487,4.72
611,"Buena Vista city, Virginia",2326,34.98
1265,"Buena Vista County, Iowa",3878,19.14
1322,"Buffalo County, Nebraska",8313,18.03
2285,"Buffalo County, South Dakota",,
1486,"Buffalo County, Wisconsin",2043,15.04
965,"Bullitt County, Kentucky",19239,25.89
1081,"Bulloch County, Georgia",16248,23.14
1236,"Bullock County, Alabama",2152,19.72
625,"Buncombe County, North Carolina",82696,34.70
1642,"Bureau County, Illinois",4397,12.57
820,"Burke County, Georgia",6879,29.50
317,"Burke County, North Carolina",41460,45.60
1991,"Burke County, North Dakota",138,7.01
1590,"Burleigh County, North Dakota",10828,13.32
1113,"Burleson County, Texas",3863,22.48
2090,"Burlington County, New Jersey",23751,5.29
918,"Burnet County, Texas",11541,27.00
1895,"Burnett County, Wisconsin",1361,8.81
952,"Burt County, Nebraska",1794,26.16
431,"Butler County, Alabama",8653,41.31
1504,"Butler County, Iowa",2191,14.74
1432,"Butler County, Kansas",10598,16.09
49,"Butler County, Kentucky",8255,65.05
851,"Butler County, Missouri",12285,28.71
1877,"Butler County, Nebraska",766,9.12
1373,"Butler County, Ohio",63088,17.14
1717,"Butler County, Pennsylvania",21100,11.48
1793,"Butte County, California",22822,10.37
2063,"Butte County, Idaho",166,5.74
2040,"Butte County, South Dakota",626,6.19
856,"Butts County, Georgia",6765,28.60
711,"Cabarrus County, North Carolina",57730,32.43
1527,"Cabell County, West Virginia",13824,14.35
2262,"Cache County, Utah",1596,1.42
67,"Caddo County, Oklahoma",18370,62.06
548,"Caddo Parish, Louisiana",94174,36.94
1929,"Calaveras County, California",3717,8.16
927,"Calcasieu Parish, Louisiana",51570,26.75
13,"Caldwell County, Kentucky",10221,78.72
909,"Caldwell County, Missouri",2571,27.28
280,"Caldwell County, North Carolina",39183,47.19
1310,"Caldwell County, Texas",6949,18.26
130,"Caldwell Parish, Louisiana",5562,54.90
2120,"Caledonia County, Vermont",1488,4.77
107,"Calhoun County, Alabama",67564,56.98
543,"Calhoun County, Arkansas",1992,37.11
980,"Calhoun County, Florida",3725,25.47
882,"Calhoun County, Georgia",1872,27.97
1400,"Calhoun County, Illinois",848,16.66
1391,"Calhoun County, Iowa",1625,16.80
1548,"Calhoun County, Michigan",19144,14.06
28,"Calhoun County, Mississippi",10526,70.35
1898,"Calhoun County, South Carolina",1318,8.69
829,"Calhoun County, Texas",6267,29.31
1927,"Calhoun County, West Virginia",624,8.18
181,"Callahan County, Texas",7036,51.95
1218,"Callaway County, Missouri",8902,20.08
336,"Calloway County, Kentucky",16535,44.46
1774,"Calumet County, Wisconsin",5208,10.63
1961,"Calvert County, Maryland",6779,7.64
1858,"Camas County, Idaho",105,9.40
2026,"Cambria County, Pennsylvania",9208,6.41
1121,"Camden County, Georgia",11256,22.28
1017,"Camden County, Missouri",10799,24.54
2153,"Camden County, New Jersey",21048,4.10
1585,"Camden County, North Carolina",1341,13.44
1499,"Cameron County, Pennsylvania",753,14.81
1697,"Cameron County, Texas",47744,11.75
1130,"Cameron Parish, Louisiana",1513,22.12
399,"Camp County, Texas",5256,42.38
1481,"Campbell County, Kentucky",13703,15.17
663,"Campbell County, South Dakota",493,33.63
757,"Campbell County, Tennessee",12641,31.05
953,"Campbell County, Virginia",14339,26.15
1574,"Campbell County, Wyoming",6296,13.65
893,"Canadian County, Oklahoma",31997,27.69
697,"Candler County, Georgia",3598,32.72
430,"Cannon County, Tennessee",5705,41.34
1578,"Canyon County, Idaho",25615,13.56
258,"Cape Girardeau County, Missouri",36396,48.10
1991,"Cape May County, New Jersey",6822,7.01
1974,"Carbon County, Montana",744,7.38
2201,"Carbon County, Pennsylvania",1943,2.98
2124,"Carbon County, Utah",1002,4.68
1867,"Carbon County, Wyoming",1468,9.24
2270,"Caribou County, Idaho",60,0.86
500,"Carlisle County, Kentucky",1979,38.77
1586,"Carlton County, Minnesota",4740,13.40
1747,"Caroline County, Maryland",3652,11.04
1143,"Caroline County, Virginia",6250,21.90
844,"Carroll County, Arkansas",7926,28.88
576,"Carroll County, Georgia",39730,35.95
1480,"Carroll County, Illinois",2335,15.18
1600,"Carroll County, Indiana",2659,13.19
1434,"Carroll County, Iowa",3336,16.03
686,"Carroll County, Kentucky",3575,33.07
1924,"Carroll County, Maryland",13764,8.24
649,"Carroll County, Mississippi",3603,34.00
146,"Carroll County, Missouri",5030,54.12
2219,"Carroll County, New Hampshire",1241,2.60
1967,"Carroll County, Ohio",2169,7.52
324,"Carroll County, Tennessee",12886,45.18
1074,"Carroll County, Virginia",7020,23.37
